filename,input_string
image_97.png,"Meeting @ New York City,  Feb 23-25, 1939"
image_98.png,"Meeting @ Washington, April 27-29, 1939"
image_99.png,"Meeting @ Washington, April 27-29, 1939"
image_100.png,"Meeting @ Washington, April 27-29, 1939"
image_101.png,"Meeting of the Southeastern Section @ UGA, March 31 and April 1, 1939"
image_102.png,"Meeting of the Southeastern Section @ UGA, March 31 and April 1, 1939"
image_103.png,"Meeting of the Southeastern Section @ UGA, March 31 and April 1, 1939"
image_104.png,"Meeting of the Southeastern Section @ UGA, March 31 and April 1, 1939"
image_105.png,"Meeting of the Southeastern Section @ UGA, March 31 and April 1, 1939"
image_106.png,"Meeting @ Berkeley, December 22-23, 1939"
image_107.png,"Meeting @ Berkeley, December 22-23, 1939"
image_108.png,"Meeting @ Berkeley, December 22-23, 1939"
image_109.png,"Meeting of the Southeastern Section @ the Citadel, Charleston, SC, March 22-23, 1940"
image_110.png,"Meeting of the Southeastern Section @ the Citadel, Charleston, SC, March 22-23, 1940"
image_111.png,"Meeting @ Washington, April 25-27, 1940"
image_112.png,"Meeting @ Washington, April 25-27, 1940"
image_113.png,"Meeting @ Caltech, Pasadena, CA, Dec. 20-21, 1940"
image_114.png,"Meeting @ Caltech, Pasadena, CA, Dec. 20-21, 1940"
image_115.png,"Meeting at Philadelphia, PA, December 26—28, 1940"
image_116.png,"Meeting at Philadelphia, PA, December 26—28, 1940"
image_117.png,"Meeting at Cambridge, MA, Feb. 21-22, 1941"
image_118.png,"Meeting of the Southeastern Section @ Vanderbilt, April 4-5, 1941"
image_119.png,"Meeting at Pasadena, CA, June 18—20, 1941"
image_120.png,"Meeting @ Chicago, Nov 21 -22, 1941"
image_121.png,"Meeting @ Chicago, Nov 21 -22, 1941"
image_122.png,"Midwinter Meeting of the Ohio Section @ Detroit and Ann Arbor,  Feb 20-21, 1942"
image_123.png,"Midwinter Meeting of the Ohio Section @ Detroit and Ann Arbor,  Feb 20-21, 1942"
image_124.png,"Meeting of the Ohio Section @ Columbus, Nov. 14, 1942"
image_125.png,"Thanksgiving Meeting @ Chicago,  Nov. 27-28, 1942"
image_126.png,"Meeting @ State College, PA, June 18-19, 1943"
image_127.png,"Meeting @ Stanford University, July 10, 1943"
image_128.png,"Meeting @ Caltech, Pasadena, CA, Dec. 27, 1943"
image_129.png,"Meeting @ Columbia University, Jan 14-15, 1944"
image_130.png,"Meeting @ Pittsburgh,  April 28 – 29, 1944"
image_131.png,"Meeting of the Southeastern Section @ Atlanta, May 5-6, 1944"
image_132.png,"Meeting @ Rochester,  June 23 – 24, 1944"
image_133.png,"Meeting @ Chicago, Dec. 1 -2, 1944"
image_134.png,"Meeting @ Columbus, Ohio, June 15 – 16, 1945"
image_135.png,"Meeting @ Stanford University, July 14, 1945"
image_136.png,"Meeting of the Metropolitan Section @ Columbia, Nov. 9-10, 1945"
image_137.png,"Meeting @ Washington University, St. Lous, MO, Nov. 30 – Dec. 1, 1945"
image_138.png,"1945 Annual Meeting @ Columbia, Jan 24-26, 1946"
image_139.png,"Meeting of the Southeastern Section @ Atlanta, GA, April 12-13, 1946"
image_140.png,"Meeting @ Cambridge, MA,  April 25 -27,  1946"
image_141.png,"Meeting @ Chicago,  June 20 -22,  1946"
image_142.png,"Meeting @ Columbia University, Jan. 30 – Feb. 7, 1947"
image_143.png,"Spring Meeting @ Washington, May 1-3, 1947"
image_144.png,"1947 Meeting @ Montreal, June 19-21, 1947"
image_145.png,"Meeting @ the University of Chicago, December 29 -31, 1947"
image_146.png,"Annual Meeting @ Columbia University, Jan. 29 – 31,  1948"
image_147.png,"Spring Meeting @ Washington, April 29 – May 1, 1948"
image_148.png,"Summer Meeting in the East @ University of Wisconsin, Madison, WI, June 21 – 23, 1948"
image_149.png,"Thanksgiving Meeting @ Chicago, Nov. 26-27, 1948 "
image_150.png,"1948 Annual Meeting @ Columbia, Jan. 26-29, 1949"
image_151.png,"Meeting @ Berkeley, Feb. 3-5, 1949"
image_152.png,"Spring Meeting @ Washington, April 28-30, 1949"
image_153.png,"Semi-Centennial Meeting @ Cambridge, MA, June 16-18, 1949"
image_154.png,"Annual Meeting @ New York City, Feb. 2-4, 1950"
image_155.png,"Annual Meeting @ New York City, Feb. 2-4, 1950"
image_156.png,"Annual Meeting @ New York City, Feb. 2-4, 1950"
image_157.png,"Annual Meeting @ New York City, Feb. 2-4, 1950"
image_158.png,"Annual Meeting @ New York City, Feb. 2-4, 1950"
image_159.png,"Meeting of the Southeastern Section at LSU, April 7-8, 1950."
image_160.png,"Spring Meeting @ Washington, April 27-29, 1950"
image_161.png,"Spring Meeting @ Washington, April 27-29, 1950"
image_162.png,"1950 Annual Meeting, Columbia University, Feb 1-3, 1951"
image_163.png,"1950 Annual Meeting, Columbia University, Feb 1-3, 1951"
image_164.png,"1950 Annual Meeting, Columbia University, Feb 1-3, 1951"
image_165.png,"1950 Annual Meeting, Columbia University, Feb 1-3, 1951"
image_166.png,"1950 Annual Meeting, Columbia University, Feb 1-3, 1951"
image_167.png,"1950 Annual Meeting, Columbia University, Feb 1-3, 1951"
image_168.png,"Joint Meeting of the New England Section and the New York State Section at Rensselaer Polytechnic Institute, Troy, New York, April 6—7, 1951"
image_169.png,"Summer Meeting in the East @ Schenectady, NY, June 14-16, 1951"
image_170.png,"1951 Annual Meeting @ Columbia, Feb 1-2, 1952"
image_171.png,"1951 Annual Meeting @ Columbia, Feb 1-2, 1952"
image_172.png,"1951 Annual Meeting @ Columbia, Feb 1-2, 1952"
image_173.png,"1951 Annual Meeting @ Columbia, Feb 1-2, 1952"
image_174.png,"1951 Annual Meeting @ Columbia, Feb 1-2, 1952"
image_175.png,"Columbus Meeting @ Ohio State University, March 20-22, 1952"
image_176.png,"Columbus Meeting @ Ohio State University, March 20-22, 1952"
image_177.png,"Columbus Meeting @ Ohio State University, March 20-22, 1952"
image_178.png,"Columbus Meeting @ Ohio State University, March 20-22, 1952"
image_179.png,"Columbus Meeting @ Ohio State University, March 20-22, 1952"
image_180.png,"Washington Meeting, May 1-3, 1952"
image_181.png,"Washington Meeting, May 1-3, 1952"
image_182.png,"Washington Meeting, May 1-3, 1952"
image_183.png,"Washington Meeting, May 1-3, 1952"
image_184.png,"Denver Meeting, June 30, July 1-3, 1952"
image_185.png,"Annual Meeting @ Harvard, Jan 22-24, 1953 "
image_186.png,"Annual Meeting @ Harvard, Jan 22-24, 1953 "
image_187.png,"Annual Meeting @ Harvard, Jan 22-24, 1953 "
image_188.png,"Annual Meeting @ Harvard, Jan 22-24, 1953 "
image_189.png,"Annual Meeting @ Harvard, Jan 22-24, 1953 "
